Tanggal,Terakhir
13/06/2022,14680.5
10/06/2022,14550.0
09/06/2022,14560.0
08/06/2022,14490.0
07/06/2022,14454.0
06/06/2022,14450.0
03/06/2022,14435.0
02/06/2022,14480.0
31/05/2022,14580.0
30/05/2022,14557.0
27/05/2022,14575.0
25/05/2022,14630.0
24/05/2022,14655.0
23/05/2022,14670.0
20/05/2022,14650.0
19/05/2022,14730.0
18/05/2022,14685.0
17/05/2022,14645.0
13/05/2022,14610.0
12/05/2022,14595.0
11/05/2022,14555.0
10/05/2022,14555.0
09/05/2022,14555.0
28/04/2022,14497.0
27/04/2022,14420.0
26/04/2022,14410.0
25/04/2022,14455.0
22/04/2022,14356.0
21/04/2022,14343.0
20/04/2022,14355.0
19/04/2022,14335.0
18/04/2022,14353.0
14/04/2022,14343.0
13/04/2022,14362.0
12/04/2022,14360.0
11/04/2022,14365.0
08/04/2022,14360.0
07/04/2022,14358.0
06/04/2022,14355.0
05/04/2022,14345.0
04/04/2022,14353.0
01/04/2022,14365.0
31/03/2022,14368.0
30/03/2022,14340.0
29/03/2022,14363.0
28/03/2022,14362.0
25/03/2022,14340.0
24/03/2022,14344.0
23/03/2022,14345.0
22/03/2022,14356.0
21/03/2022,14338.0
18/03/2022,14340.0
17/03/2022,14300.0
16/03/2022,14310.0
15/03/2022,14325.0
14/03/2022,14330.0
11/03/2022,14300.0
10/03/2022,14275.0
09/03/2022,14345.0
08/03/2022,14395.0
07/03/2022,14405.0
04/03/2022,14385.0
02/03/2022,14385.0
01/03/2022,14335.0
25/02/2022,14365.0
24/02/2022,14380.0
23/02/2022,14335.0
22/02/2022,14361.0
21/02/2022,14325.0
18/02/2022,14325.0
17/02/2022,14315.0
16/02/2022,14255.0
15/02/2022,14300.0
14/02/2022,14325.0
11/02/2022,14350.0
10/02/2022,14340.0
09/02/2022,14355.0
08/02/2022,14390.0
07/02/2022,14395.0
04/02/2022,14378.0
03/02/2022,14375.0
02/02/2022,14355.0
31/01/2022,14380.0
28/01/2022,14385.0
27/01/2022,14385.0
26/01/2022,14350.0
25/01/2022,14350.0
24/01/2022,14340.0
21/01/2022,14335.0
20/01/2022,14335.0
19/01/2022,14360.0
18/01/2022,14335.0
17/01/2022,14315.0
14/01/2022,14295.0
13/01/2022,14290.0
12/01/2022,14315.0
11/01/2022,14300.0
10/01/2022,14305.0
07/01/2022,14355.0
06/01/2022,14390.0
05/01/2022,14355.0
04/01/2022,14300.0
03/01/2022,14264.0
31/12/2021,14250.0
30/12/2021,14265.0
29/12/2021,14250.0
28/12/2021,14225.0
27/12/2021,14225.0
24/12/2021,14220.0
23/12/2021,14247.0
22/12/2021,14285.0
21/12/2021,14313.0
20/12/2021,14375.0
17/12/2021,14365.0
16/12/2021,14340.0
15/12/2021,14330.0
14/12/2021,14330.0
13/12/2021,14340.0
10/12/2021,14370.0
09/12/2021,14350.0
08/12/2021,14355.0
07/12/2021,14375.0
06/12/2021,14435.0
03/12/2021,14395.0
02/12/2021,14375.0
01/12/2021,14340.0
30/11/2021,14320.0
29/11/2021,14320.0
26/11/2021,14300.0
25/11/2021,14265.0
24/11/2021,14255.0
23/11/2021,14255.0
22/11/2021,14245.0
19/11/2021,14235.0
18/11/2021,14225.0
17/11/2021,14240.0
16/11/2021,14220.0
15/11/2021,14210.0
12/11/2021,14233.0
11/11/2021,14260.0
10/11/2021,14250.0
09/11/2021,14240.0
08/11/2021,14255.0
05/11/2021,14325.0
04/11/2021,14335.0
03/11/2021,14295.0
02/11/2021,14250.0
01/11/2021,14245.0
29/10/2021,14165.0
28/10/2021,14170.0
27/10/2021,14170.0
26/10/2021,14150.0
25/10/2021,14155.0
22/10/2021,14120.0
21/10/2021,14120.0
19/10/2021,14073.0
18/10/2021,14105.0
15/10/2021,14070.0
14/10/2021,14115.0
13/10/2021,14215.0
12/10/2021,14215.0
11/10/2021,14205.0
08/10/2021,14220.0
07/10/2021,14215.0
06/10/2021,14250.0
05/10/2021,14248.0
04/10/2021,14265.0
01/10/2021,14305.0
30/09/2021,14310.0
29/09/2021,14290.0
28/09/2021,14270.0
27/09/2021,14250.0
24/09/2021,14255.0
23/09/2021,14240.0
22/09/2021,14240.0
21/09/2021,14235.0
20/09/2021,14240.0
17/09/2021,14225.0
16/09/2021,14250.0
15/09/2021,14240.0
14/09/2021,14245.0
13/09/2021,14250.0
10/09/2021,14200.0
09/09/2021,14250.0
08/09/2021,14250.0
07/09/2021,14210.0
06/09/2021,14220.0
03/09/2021,14260.0
02/09/2021,14270.0
01/09/2021,14280.0
31/08/2021,14265.0
30/08/2021,14368.0
27/08/2021,14415.0
26/08/2021,14415.0
25/08/2021,14395.0
24/08/2021,14390.0
23/08/2021,14410.0
20/08/2021,14450.0
19/08/2021,14400.0
18/08/2021,14370.0
16/08/2021,14370.0
13/08/2021,14385.0
12/08/2021,14380.0
10/08/2021,14380.0
09/08/2021,14360.0
06/08/2021,14350.0
05/08/2021,14340.0
04/08/2021,14310.0
03/08/2021,14340.0
02/08/2021,14420.0
30/07/2021,14460.0
29/07/2021,14480.0
28/07/2021,14485.0
27/07/2021,14490.0
26/07/2021,14480.0
23/07/2021,14490.0
22/07/2021,14480.0
21/07/2021,14540.0
19/07/2021,14515.0
16/07/2021,14495.0
15/07/2021,14480.0
14/07/2021,14475.0
13/07/2021,14462.0
12/07/2021,14490.0
09/07/2021,14525.0
08/07/2021,14520.0
07/07/2021,14480.0
06/07/2021,14465.0
05/07/2021,14476.0
02/07/2021,14530.0
01/07/2021,14500.0
30/06/2021,14495.0
29/06/2021,14480.0
28/06/2021,14440.0
25/06/2021,14420.0
24/06/2021,14435.0
23/06/2021,14430.0
22/06/2021,14400.0
21/06/2021,14425.0
18/06/2021,14370.0
17/06/2021,14350.0
16/06/2021,14235.0
15/06/2021,14220.0
14/06/2021,14200.0
