,Tanggal,Terakhir
0,13/06/2022,14680.5
1,10/06/2022,14550.0
2,09/06/2022,14560.0
3,08/06/2022,14490.0
4,07/06/2022,14454.0
5,06/06/2022,14450.0
6,03/06/2022,14435.0
7,02/06/2022,14480.0
8,31/05/2022,14580.0
9,30/05/2022,14557.0
10,27/05/2022,14575.0
11,25/05/2022,14630.0
12,24/05/2022,14655.0
13,23/05/2022,14670.0
14,20/05/2022,14650.0
15,19/05/2022,14730.0
16,18/05/2022,14685.0
17,17/05/2022,14645.0
18,13/05/2022,14610.0
19,12/05/2022,14595.0
20,11/05/2022,14555.0
21,10/05/2022,14555.0
22,09/05/2022,14555.0
23,28/04/2022,14497.0
24,27/04/2022,14420.0
25,26/04/2022,14410.0
26,25/04/2022,14455.0
27,22/04/2022,14356.0
28,21/04/2022,14343.0
29,20/04/2022,14355.0
30,19/04/2022,14335.0
31,18/04/2022,14353.0
32,14/04/2022,14343.0
33,13/04/2022,14362.0
34,12/04/2022,14360.0
35,11/04/2022,14365.0
36,08/04/2022,14360.0
37,07/04/2022,14358.0
38,06/04/2022,14355.0
39,05/04/2022,14345.0
40,04/04/2022,14353.0
41,01/04/2022,14365.0
42,31/03/2022,14368.0
43,30/03/2022,14340.0
44,29/03/2022,14363.0
45,28/03/2022,14362.0
46,25/03/2022,14340.0
47,24/03/2022,14344.0
48,23/03/2022,14345.0
49,22/03/2022,14356.0
50,21/03/2022,14338.0
51,18/03/2022,14340.0
52,17/03/2022,14300.0
53,16/03/2022,14310.0
54,15/03/2022,14325.0
55,14/03/2022,14330.0
56,11/03/2022,14300.0
57,10/03/2022,14275.0
58,09/03/2022,14345.0
59,08/03/2022,14395.0
60,07/03/2022,14405.0
61,04/03/2022,14385.0
62,02/03/2022,14385.0
63,01/03/2022,14335.0
64,25/02/2022,14365.0
65,24/02/2022,14380.0
66,23/02/2022,14335.0
67,22/02/2022,14361.0
68,21/02/2022,14325.0
69,18/02/2022,14325.0
70,17/02/2022,14315.0
71,16/02/2022,14255.0
72,15/02/2022,14300.0
73,14/02/2022,14325.0
74,11/02/2022,14350.0
75,10/02/2022,14340.0
76,09/02/2022,14355.0
77,08/02/2022,14390.0
78,07/02/2022,14395.0
79,04/02/2022,14378.0
80,03/02/2022,14375.0
81,02/02/2022,14355.0
82,31/01/2022,14380.0
83,28/01/2022,14385.0
84,27/01/2022,14385.0
85,26/01/2022,14350.0
86,25/01/2022,14350.0
87,24/01/2022,14340.0
88,21/01/2022,14335.0
89,20/01/2022,14335.0
90,19/01/2022,14360.0
91,18/01/2022,14335.0
92,17/01/2022,14315.0
93,14/01/2022,14295.0
94,13/01/2022,14290.0
95,12/01/2022,14315.0
96,11/01/2022,14300.0
97,10/01/2022,14305.0
98,07/01/2022,14355.0
99,06/01/2022,14390.0
100,05/01/2022,14355.0
101,04/01/2022,14300.0
102,03/01/2022,14264.0
103,31/12/2021,14250.0
104,30/12/2021,14265.0
105,29/12/2021,14250.0
106,28/12/2021,14225.0
107,27/12/2021,14225.0
108,24/12/2021,14220.0
109,23/12/2021,14247.0
110,22/12/2021,14285.0
111,21/12/2021,14313.0
112,20/12/2021,14375.0
113,17/12/2021,14365.0
114,16/12/2021,14340.0
115,15/12/2021,14330.0
116,14/12/2021,14330.0
117,13/12/2021,14340.0
118,10/12/2021,14370.0
119,09/12/2021,14350.0
120,08/12/2021,14355.0
121,07/12/2021,14375.0
122,06/12/2021,14435.0
123,03/12/2021,14395.0
124,02/12/2021,14375.0
125,01/12/2021,14340.0
126,30/11/2021,14320.0
127,29/11/2021,14320.0
128,26/11/2021,14300.0
129,25/11/2021,14265.0
130,24/11/2021,14255.0
131,23/11/2021,14255.0
132,22/11/2021,14245.0
133,19/11/2021,14235.0
134,18/11/2021,14225.0
135,17/11/2021,14240.0
136,16/11/2021,14220.0
137,15/11/2021,14210.0
138,12/11/2021,14233.0
139,11/11/2021,14260.0
140,10/11/2021,14250.0
141,09/11/2021,14240.0
142,08/11/2021,14255.0
143,05/11/2021,14325.0
144,04/11/2021,14335.0
145,03/11/2021,14295.0
146,02/11/2021,14250.0
147,01/11/2021,14245.0
148,29/10/2021,14165.0
149,28/10/2021,14170.0
150,27/10/2021,14170.0
151,26/10/2021,14150.0
152,25/10/2021,14155.0
153,22/10/2021,14120.0
154,21/10/2021,14120.0
155,19/10/2021,14073.0
156,18/10/2021,14105.0
157,15/10/2021,14070.0
158,14/10/2021,14115.0
159,13/10/2021,14215.0
160,12/10/2021,14215.0
161,11/10/2021,14205.0
162,08/10/2021,14220.0
163,07/10/2021,14215.0
164,06/10/2021,14250.0
165,05/10/2021,14248.0
166,04/10/2021,14265.0
167,01/10/2021,14305.0
168,30/09/2021,14310.0
169,29/09/2021,14290.0
170,28/09/2021,14270.0
171,27/09/2021,14250.0
172,24/09/2021,14255.0
173,23/09/2021,14240.0
174,22/09/2021,14240.0
175,21/09/2021,14235.0
176,20/09/2021,14240.0
177,17/09/2021,14225.0
178,16/09/2021,14250.0
179,15/09/2021,14240.0
180,14/09/2021,14245.0
181,13/09/2021,14250.0
182,10/09/2021,14200.0
183,09/09/2021,14250.0
184,08/09/2021,14250.0
185,07/09/2021,14210.0
186,06/09/2021,14220.0
187,03/09/2021,14260.0
188,02/09/2021,14270.0
189,01/09/2021,14280.0
190,31/08/2021,14265.0
191,30/08/2021,14368.0
192,27/08/2021,14415.0
193,26/08/2021,14415.0
194,25/08/2021,14395.0
195,24/08/2021,14390.0
196,23/08/2021,14410.0
197,20/08/2021,14450.0
198,19/08/2021,14400.0
199,18/08/2021,14370.0
200,16/08/2021,14370.0
201,13/08/2021,14385.0
202,12/08/2021,14380.0
203,10/08/2021,14380.0
204,09/08/2021,14360.0
205,06/08/2021,14350.0
206,05/08/2021,14340.0
207,04/08/2021,14310.0
208,03/08/2021,14340.0
209,02/08/2021,14420.0
210,30/07/2021,14460.0
211,29/07/2021,14480.0
212,28/07/2021,14485.0
213,27/07/2021,14490.0
214,26/07/2021,14480.0
215,23/07/2021,14490.0
216,22/07/2021,14480.0
217,21/07/2021,14540.0
218,19/07/2021,14515.0
219,16/07/2021,14495.0
220,15/07/2021,14480.0
221,14/07/2021,14475.0
222,13/07/2021,14462.0
223,12/07/2021,14490.0
224,09/07/2021,14525.0
225,08/07/2021,14520.0
226,07/07/2021,14480.0
227,06/07/2021,14465.0
228,05/07/2021,14476.0
229,02/07/2021,14530.0
230,01/07/2021,14500.0
231,30/06/2021,14495.0
232,29/06/2021,14480.0
233,28/06/2021,14440.0
234,25/06/2021,14420.0
235,24/06/2021,14435.0
236,23/06/2021,14430.0
237,22/06/2021,14400.0
238,21/06/2021,14425.0
239,18/06/2021,14370.0
240,17/06/2021,14350.0
241,16/06/2021,14235.0
242,15/06/2021,14220.0
243,14/06/2021,14200.0
